Date;Open;High;Low;Close;Adj Close;Volume
20/06/2013;50.110001;50.110001;48.98;49.919998;49.919998;9720
21/06/2013;49.5;50.299999;49.5;49.720001;49.720001;15760
24/06/2013;48.25;49.299999;48.25;48.310001;48.310001;43760
25/06/2013;49.049999;49.900002;48.630001;49.900002;49.900002;3400
26/06/2013;49.380001;50;48.459999;49.759998;49.759998;47620
27/06/2013;49.77;50.580002;49.77;50.200001;50.200001;35480
28/06/2013;49.959999;50.950001;49.959999;50.950001;50.950001;169090
01/07/2013;49.959999;51.240002;49.959999;51.029999;51.029999;76580
02/07/2013;50.73;50.84;49.349998;49.349998;49.349998;7420
03/07/2013;49.150002;49.759998;48.82;48.82;48.82;4640
04/07/2013;49.700001;49.759998;49.380001;49.459999;49.459999;5740
05/07/2013;49.029999;49.029999;48.299999;48.299999;48.299999;10540
08/07/2013;48.959999;49.450001;48.860001;49.450001;49.450001;6600
10/07/2013;49.25;49.759998;48.02;48.720001;48.720001;21370
11/07/2013;50;50.349998;49.849998;50.279999;50.279999;15830
12/07/2013;50.279999;50.349998;49.830002;49.869999;49.869999;13790
15/07/2013;49.990002;50.610001;49.990002;50.41;50.41;42330
16/07/2013;50.959999;51;50.299999;50.700001;50.700001;11230
17/07/2013;50.880001;51.23;50.700001;50.84;50.84;25850
18/07/2013;50.68;51.220001;50;50;50;34860
19/07/2013;50;50.700001;50;50.599998;50.599998;17730
22/07/2013;50.610001;51.849998;50.610001;51.599998;51.599998;13120
23/07/2013;51.599998;52.200001;51.599998;51.849998;51.849998;15120
24/07/2013;51.720001;51.75;51.259998;51.34;51.34;4410
25/07/2013;50.610001;51.830002;50.610001;51.799999;51.799999;11380
26/07/2013;51.799999;51.799999;51.799999;51.799999;51.799999;0
29/07/2013;51.439999;51.689999;51.439999;51.689999;51.689999;7190
30/07/2013;51.450001;52;51.27;51.27;51.27;11780
31/07/2013;50.720001;51.560001;50.720001;51.360001;51.360001;17510
01/08/2013;51.360001;52.27;50.330002;52.169998;52.169998;10440
02/08/2013;52;52.5;51.799999;51.799999;51.799999;6020
05/08/2013;51.849998;51.849998;51.330002;51.439999;51.439999;4910
06/08/2013;50.77;50.82;49.900002;49.900002;49.900002;10590
07/08/2013;50.049999;50.599998;49.950001;49.950001;49.950001;5990
08/08/2013;50.34;51.799999;50.34;51.720001;51.720001;10430
09/08/2013;51.57;52.400002;51.549999;51.549999;51.549999;55590
12/08/2013;52;53.290001;52;53.119999;53.119999;59130
13/08/2013;53.07;53.299999;52.650002;52.650002;52.650002;7110
14/08/2013;53.080002;53.580002;53.080002;53.200001;53.200001;6560
15/08/2013;52.619999;53;52.009998;52.009998;52.009998;1570
16/08/2013;52.790001;53.060001;52.549999;53.060001;53.060001;5220
19/08/2013;52.619999;53;52.619999;52.830002;52.830002;2880
20/08/2013;52.799999;52.799999;51.799999;51.799999;51.799999;7190
21/08/2013;51.799999;52.290001;51.48;52;52;6610
22/08/2013;52.259998;52.43;51.939999;52.110001;52.110001;2360
23/08/2013;52.150002;52.799999;52.130001;52.759998;52.759998;5870
26/08/2013;52.91;52.91;52.310001;52.330002;52.330002;4460
27/08/2013;51.610001;51.619999;51.310001;51.310001;51.310001;1800
28/08/2013;51.029999;51.279999;50.740002;51.060001;51.060001;2370
29/08/2013;51.34;51.919998;51.310001;51.490002;51.490002;27240
30/08/2013;51.34;51.959999;51.310001;51.959999;51.959999;2840
